,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
132,ViT_T16,Cassava,ImageNet_AugReg,30,dc,0.01921708185053381,0.0,100
133,ViT_T16,Cassava,ImageNet_AugReg,30,knn,0.16151369221183312,0.019512334403770513,100
134,ViT_T16,Cassava,ImageNet_AugReg,30,lr,0.28625949253847904,0.01639010882578978,100
135,ViT_T16,Cassava,Plant,1,dc,0.01921708185053381,0.0,100
136,ViT_T16,Cassava,Plant,1,knn,0.24332663891571535,0.04796578161988978,100
137,ViT_T16,Cassava,Plant,1,lr,0.24523787412806605,0.044446562587201546,100
138,ViT_T16,Cassava,Plant,10,dc,0.01921708185053381,0.0,100
139,ViT_T16,Cassava,Plant,10,knn,0.31008913349930006,0.02791332690316229,100
140,ViT_T16,Cassava,Plant,10,lr,0.3652697602464863,0.030603303426809825,100
141,ViT_T16,Cassava,Plant,100,dc,0.01921708185053381,0.0,100
142,ViT_T16,Cassava,Plant,100,knn,0.4404175511415471,0.016314176235552168,100
143,ViT_T16,Cassava,Plant,100,lr,0.4711138803253473,0.014004213780421656,100
144,ViT_T16,Cassava,Plant,3,dc,0.01921708185053381,0.0,100
145,ViT_T16,Cassava,Plant,3,knn,0.26452256835652915,0.03369231871226452,100
146,ViT_T16,Cassava,Plant,3,lr,0.2847482095347232,0.03815767757941161,100
147,ViT_T16,Cassava,Plant,30,dc,0.01921708185053381,0.0,100
148,ViT_T16,Cassava,Plant,30,knn,0.3806582905881505,0.025583285963453266,100
149,ViT_T16,Cassava,Plant,30,lr,0.42662607104509737,0.02308949401200816,100
150,ViT_T16,Cassava,Random,1,dc,0.01921708185053381,0.0,100
151,ViT_T16,Cassava,Random,1,knn,0.16598088865097285,0.023348169783766467,100
152,ViT_T16,Cassava,Random,1,lr,0.16678615951252249,0.023467040853892434,100
153,ViT_T16,Cassava,Random,10,dc,0.01921708185053381,0.0,100
154,ViT_T16,Cassava,Random,10,knn,0.17522801036417998,0.012461520125156143,100
155,ViT_T16,Cassava,Random,10,lr,0.18169664470417135,0.01616495261728574,100
156,ViT_T16,Cassava,Random,100,dc,0.01921708185053381,0.0,100
157,ViT_T16,Cassava,Random,100,knn,0.19292675371883103,0.013619214286865832,100
158,ViT_T16,Cassava,Random,100,lr,0.2226181714236177,0.010191646064699548,100
159,ViT_T16,Cassava,Random,3,dc,0.01921708185053381,0.0,100
160,ViT_T16,Cassava,Random,3,knn,0.16979630792071998,0.017769613178064705,100
161,ViT_T16,Cassava,Random,3,lr,0.1711831602747192,0.022383103087172566,100
162,ViT_T16,Cassava,Random,30,dc,0.01921708185053381,0.0,100
163,ViT_T16,Cassava,Random,30,knn,0.17842827940915473,0.01336585343931717,100
164,ViT_T16,Cassava,Random,30,lr,0.19614118509120562,0.01193459284086923,100
165,ResNet50,DDI,Derma_SSL_SimCLR,1,dc,0.4260869565217391,0.0,100
166,ResNet50,DDI,Derma_SSL_SimCLR,1,knn,0.4545747491526306,0.09676953485367258,100
167,ResNet50,DDI,Derma_SSL_SimCLR,1,lr,0.4541504496887998,0.09185922509841417,100
168,ResNet50,DDI,Derma_SSL_SimCLR,10,dc,0.4260869565217391,0.0,100
169,ResNet50,DDI,Derma_SSL_SimCLR,10,knn,0.5189968610393736,0.08018990153036307,100
170,ResNet50,DDI,Derma_SSL_SimCLR,10,lr,0.5491786300173483,0.07888401947359923,100
171,ResNet50,DDI,Derma_SSL_SimCLR,100,dc,0.4260869565217391,0.0,100
172,ResNet50,DDI,Derma_SSL_SimCLR,100,knn,0.5569106817352896,0.05980750495945598,100
173,ResNet50,DDI,Derma_SSL_SimCLR,100,lr,0.6080280117224948,0.02004692059455982,100
174,ResNet50,DDI,Derma_SSL_SimCLR,3,dc,0.4260869565217391,0.0,100
175,ResNet50,DDI,Derma_SSL_SimCLR,3,knn,0.496875311706201,0.08535665492385952,100
176,ResNet50,DDI,Derma_SSL_SimCLR,3,lr,0.5054282764701514,0.0826055102381884,100
177,ResNet50,DDI,Derma_SSL_SimCLR,30,dc,0.4260869565217391,0.0,100
